Trade_ID,Account_ID,Broker_ID,Company_ID,Action,Transaction Date,Time,No. of shares,Price / share,Trade_Type,Tax_Amount
TRD000001,ACC033,BRK002,CMP056,Market buy,30-04-2020,17:21:18,50,12.76,BUY,0
TRD000002,ACC030,BRK015,CMP049,Market buy,04-05-2020,10:43:01,1,929.8,BUY,0.05
TRD000003,ACC021,BRK002,CMP071,Market buy,04-05-2020,15:39:01,15,29.34,BUY,0
TRD000004,ACC044,BRK003,CMP042,Market buy,11-05-2020,17:17:53,2.5,213.32,BUY,0
TRD000005,ACC001,BRK006,CMP080,Market buy,18-05-2020,17:55:24,15,44.68,BUY,0
TRD000006,ACC023,BRK014,CMP042,Market buy,29-05-2020,13:30:16,2.5,225.42,BUY,0
TRD000007,ACC042,BRK006,CMP022,Market buy,29-05-2020,13:30:22,8,78.6,BUY,0
TRD000008,ACC001,BRK007,CMP047,Market buy,03-06-2020,13:31:06,20,30.55,BUY,0
TRD000009,ACC028,BRK003,CMP007,Market buy,05-06-2020,13:32:00,2,320,BUY,0
TRD000010,ACC048,BRK007,CMP027,Market buy,30-06-2020,13:31:08,1,1396.62,BUY,0
TRD000011,ACC032,BRK008,CMP022,Market buy,30-06-2020,13:31:11,7,82.76,BUY,0
TRD000012,ACC062,BRK011,CMP059,Market buy,30-06-2020,13:31:36,15,89.23,BUY,0
TRD000013,ACC047,BRK006,CMP042,Market buy,30-06-2020,13:32:22,3,219.94,BUY,0
TRD000014,ACC073,BRK011,CMP024,Market buy,30-06-2020,13:33:45,8,82.4,BUY,0
TRD000015,ACC014,BRK011,CMP047,Market buy,30-06-2020,13:35:03,18,35.43,BUY,0
TRD000016,ACC023,BRK013,CMP007,Market buy,30-06-2020,13:36:57,4,310.46,BUY,0
TRD000017,ACC022,BRK004,CMP042,Market buy,01-07-2020,13:30:35,4,228.57,BUY,0
TRD000018,ACC044,BRK013,CMP001,Market buy,01-07-2020,13:31:23,2,365.09,BUY,0
TRD000019,ACC063,BRK008,CMP047,Market buy,01-07-2020,13:31:39,20,36.05,BUY,0
TRD000020,ACC046,BRK014,CMP024,Market buy,01-07-2020,13:31:54,8,84.01,BUY,0
TRD000021,ACC065,BRK012,CMP038,Market buy,09-07-2020,13:30:12,3.5,98.97,BUY,0
TRD000022,ACC051,BRK014,CMP038,Market buy,31-07-2020,13:30:16,5,126.57,BUY,0
TRD000023,ACC040,BRK012,CMP048,Market buy,31-07-2020,13:30:26,0.3,489,BUY,0
TRD000024,ACC075,BRK012,CMP001,Market buy,31-07-2020,13:31:01,0.5,411.67,BUY,0
TRD000025,ACC055,BRK012,CMP059,Market buy,31-07-2020,13:31:42,2,105.77,BUY,0
TRD000026,ACC023,BRK001,CMP071,Market buy,31-07-2020,13:31:45,5,29.5,BUY,0
TRD000027,ACC031,BRK013,CMP064,Market buy,13-08-2020,13:30:15,1,216.75,BUY,0
TRD000028,ACC045,BRK001,CMP071,Market buy,21-08-2020,13:31:56,4,29.72,BUY,0
TRD000029,ACC029,BRK015,CMP007,Market buy,28-08-2020,16:22:49,1,340.52,BUY,0
TRD000030,ACC020,BRK011,CMP059,Market buy,28-08-2020,16:24:14,2,117.23,BUY,0
TRD000031,ACC011,BRK009,CMP026,Market buy,28-08-2020,16:25:32,7,19.03,BUY,0
TRD000032,ACC068,BRK010,CMP064,Market buy,28-08-2020,16:28:33,1,220.44,BUY,0
TRD000033,ACC072,BRK008,CMP048,Market buy,28-08-2020,16:29:18,0.5,526,BUY,0
TRD000034,ACC006,BRK002,CMP071,Market buy,28-08-2020,16:29:21,5,30,BUY,0
TRD000035,ACC045,BRK008,CMP046,Market buy,15-09-2020,14:04:01,1,298.44,BUY,0
TRD000036,ACC046,BRK001,CMP064,Market buy,15-09-2020,14:05:30,1,197.5,BUY,0
TRD000037,ACC040,BRK008,CMP066,Market buy,16-09-2020,19:12:13,2,266,BUY,0
TRD000038,ACC056,BRK010,CMP059,Market buy,29-09-2020,16:44:22,2,118.17,BUY,0
TRD000039,ACC048,BRK006,CMP026,Market buy,29-09-2020,16:45:01,10,16.87,BUY,0
TRD000040,ACC043,BRK010,CMP028,Market buy,29-09-2020,16:56:32,8,41.65,BUY,0
TRD000041,ACC044,BRK012,CMP026,Market buy,29-09-2020,16:58:28,10,16.85,BUY,0
TRD000042,ACC072,BRK013,CMP046,Market buy,29-09-2020,17:09:30,1,283.32,BUY,0
TRD000043,ACC004,BRK012,CMP071,Market buy,29-09-2020,17:10:55,4,28.17,BUY,0
TRD000044,ACC070,BRK015,CMP069,Market buy,06-10-2020,16:02:49,38,28.95,BUY,0
TRD000045,ACC058,BRK006,CMP017,Market buy,08-10-2020,13:30:10,2,30.29,BUY,0
TRD000046,ACC014,BRK011,CMP005,Market buy,15-10-2020,14:21:45,5,238.64,BUY,0
TRD000047,ACC040,BRK007,CMP020,Market buy,22-10-2020,17:04:20,11,152.84,BUY,0
TRD000048,ACC014,BRK001,CMP050,Market buy,28-10-2020,16:03:13,18,123.82,BUY,0
TRD000049,ACC008,BRK010,CMP056,Market buy,29-10-2020,13:37:28,30,10.39,BUY,0
TRD000050,ACC062,BRK011,CMP017,Market buy,29-10-2020,13:38:26,10,28.05,BUY,0
TRD000051,ACC003,BRK004,CMP028,Market buy,29-10-2020,13:39:00,6,43.11,BUY,0
TRD000052,ACC044,BRK010,CMP046,Market buy,29-10-2020,13:39:26,4,73.58,BUY,0
TRD000053,ACC058,BRK013,CMP020,Market buy,29-10-2020,13:40:06,2,148.22,BUY,0
TRD000054,ACC038,BRK010,CMP056,Market buy,29-10-2020,13:40:42,10,10.39,BUY,0
TRD000055,ACC065,BRK015,CMP053,Market buy,06-11-2020,14:30:23,30,58.37,BUY,0
TRD000056,ACC022,BRK005,CMP028,Market buy,06-11-2020,20:00:44,4,47.83,BUY,0
TRD000057,ACC004,BRK012,CMP046,Market buy,06-11-2020,20:02:03,6,75.6,BUY,0
TRD000058,ACC071,BRK015,CMP017,Market buy,06-11-2020,20:03:32,15,29.51,BUY,0
TRD000059,ACC009,BRK003,CMP046,Market buy,13-11-2020,14:30:10,24,77.22,BUY,0
TRD000060,ACC068,BRK013,CMP065,Market buy,16-11-2020,14:30:56,2,28.58,BUY,0
TRD000061,ACC017,BRK012,CMP065,Market buy,16-11-2020,14:30:58,18,28.96,BUY,0
TRD000062,ACC048,BRK005,CMP030,Market buy,16-11-2020,14:31:02,16,34.86,BUY,0
TRD000063,ACC024,BRK002,CMP037,Market buy,19-11-2020,14:30:03,4,37.24,BUY,0
TRD000064,ACC026,BRK001,CMP080,Market buy,20-11-2020,15:56:52,5,64.11,BUY,0
TRD000065,ACC060,BRK007,CMP069,Market buy,20-11-2020,15:57:27,10,31.79,BUY,0
TRD000066,ACC026,BRK005,CMP067,Market buy,20-11-2020,15:58:00,4,79.8,BUY,0
TRD000067,ACC019,BRK013,CMP056,Market buy,20-11-2020,16:00:17,2,12.73,BUY,0
TRD000068,ACC044,BRK002,CMP057,Market buy,24-11-2020,14:30:17,1,30.18,BUY,0
TRD000069,ACC012,BRK004,CMP057,Market buy,24-11-2020,14:33:10,64,30.18,BUY,0
TRD000070,ACC059,BRK004,CMP064,Market buy,27-11-2020,16:59:04,1,293.67,BUY,0
