Price_ID,Company_ID,Price_Date,Open_Price,High_Price,Low_Price,Close_Price,Volume
PRC000001,CMP010,2024-03-09,416.09,470.93,369.82,413.83,1290786
PRC000002,CMP023,2024-06-14,21.64,23.97,21.52,21.7,2114157
PRC000003,CMP050,2022-07-12,283.46,307.91,273.78,282.61,3393755
PRC000004,CMP083,2024-01-15,222.18,222.74,199.74,212.04,531475
PRC000005,CMP065,2020-08-05,380.42,413.84,340.43,345.76,2432325
PRC000006,CMP057,2022-02-20,395.58,413.46,390.45,408.06,3315450
PRC000007,CMP051,2024-06-19,412.84,414.75,403.16,405.71,4578868
PRC000008,CMP083,2022-02-03,154.54,169.24,147.63,166.8,94534
PRC000009,CMP077,2022-03-18,281.23,304.65,276.03,276.17,4506957
PRC000010,CMP045,2021-03-09,278.29,281.84,269.52,278.65,3462596
PRC000011,CMP079,2024-09-05,453.76,511.71,444.06,456.51,2121151
PRC000012,CMP071,2022-08-02,105.22,108.08,92.6,105.79,4611920
PRC000013,CMP075,2022-09-24,45.84,50.46,44.12,45.37,2776378
PRC000014,CMP009,2021-01-31,185.0,203.63,178.49,185.66,2666781
PRC000015,CMP020,2023-03-04,248.07,260.29,223.53,249.02,4756182
PRC000016,CMP032,2024-05-28,188.6,197.55,176.48,176.58,1859292
PRC000017,CMP043,2024-12-02,358.98,393.49,344.08,361.84,4027145
PRC000018,CMP023,2023-08-15,236.8,249.54,225.95,238.96,688645
PRC000019,CMP034,2024-02-11,422.48,476.9,413.61,447.7,642412
PRC000020,CMP075,2023-03-31,366.44,415.48,319.74,380.21,3399514
PRC000021,CMP070,2022-08-24,386.91,399.26,384.78,388.55,1247823
PRC000022,CMP038,2020-10-01,189.25,195.59,167.33,188.05,3899195
PRC000023,CMP031,2024-10-02,255.55,259.02,241.6,241.78,1392196
PRC000024,CMP073,2023-09-12,381.03,389.05,371.93,381.63,1227406
PRC000025,CMP063,2021-04-19,370.6,397.48,350.65,360.9,528317
PRC000026,CMP047,2022-03-05,139.53,144.43,125.54,135.32,3940912
PRC000027,CMP014,2023-12-12,459.77,520.57,457.02,498.23,4374592
PRC000028,CMP073,2020-12-22,320.45,333.6,284.79,313.03,3160649
PRC000029,CMP067,2021-05-30,330.3,348.4,297.93,340.1,3157874
PRC000030,CMP045,2022-09-24,486.61,502.88,456.99,494.49,4045232
PRC000031,CMP030,2020-06-06,444.71,445.15,385.87,411.95,4317285
PRC000032,CMP016,2023-09-15,325.3,335.62,316.18,323.22,1933285
PRC000033,CMP062,2021-03-07,213.16,223.72,209.54,219.11,4956913
PRC000034,CMP074,2023-04-28,89.01,100.14,88.71,89.2,1352649
PRC000035,CMP022,2021-06-12,76.01,81.85,65.85,68.2,1511264
PRC000036,CMP085,2024-08-09,263.15,279.15,224.89,259.49,2378789
PRC000037,CMP062,2020-12-15,474.15,489.55,431.01,458.61,1841157
PRC000038,CMP024,2023-06-30,416.88,454.45,367.19,438.78,4285942
PRC000039,CMP076,2020-05-20,139.62,154.79,132.44,142.58,1928817
PRC000040,CMP065,2023-11-02,195.32,199.19,194.83,197.11,3522495
PRC000041,CMP077,2020-03-20,414.99,452.68,403.95,447.89,4458957
PRC000042,CMP078,2023-01-09,256.63,261.15,238.07,241.08,11068
PRC000043,CMP048,2024-11-26,449.51,501.76,405.73,455.86,365386
PRC000044,CMP049,2021-12-18,351.84,374.48,302.31,337.1,4942293
PRC000045,CMP055,2020-10-01,404.26,459.31,353.49,414.46,2136051
PRC000046,CMP070,2022-04-16,243.8,252.3,212.38,223.69,2163624
PRC000047,CMP016,2022-11-30,102.62,113.54,90.47,103.8,61348
PRC000048,CMP014,2020-11-12,193.76,199.73,170.38,182.38,3575147
PRC000049,CMP047,2023-06-07,329.27,341.8,287.04,310.23,2312569
PRC000050,CMP072,2022-09-15,495.98,525.55,480.83,505.52,1500208
PRC000051,CMP045,2024-05-04,191.4,207.33,184.11,191.23,3340754
PRC000052,CMP058,2024-05-22,370.53,418.05,333.89,396.83,1358235
PRC000053,CMP079,2023-11-28,59.14,63.65,52.17,61.36,437650
PRC000054,CMP019,2022-08-23,88.76,101.6,88.69,89.87,3653210
PRC000055,CMP050,2022-03-31,53.19,55.29,50.23,53.31,4371511
PRC000056,CMP023,2023-08-04,150.37,172.1,149.07,166.89,4148062
PRC000057,CMP037,2021-02-02,225.1,231.91,202.92,226.23,282935
PRC000058,CMP005,2022-01-06,394.14,424.32,352.85,396.82,2008030
PRC000059,CMP052,2021-12-24,330.96,379.39,326.65,341.2,3315700
PRC000060,CMP012,2023-01-30,208.67,214.94,208.19,212.94,2387506
PRC000061,CMP036,2021-04-08,365.81,396.49,333.82,355.6,1632795
PRC000062,CMP065,2020-08-06,232.83,246.94,232.67,235.17,4687134
PRC000063,CMP033,2024-11-29,45.47,47.48,39.01,45.81,4513260
PRC000064,CMP073,2022-09-17,408.44,443.66,365.91,441.02,2041723
PRC000065,CMP076,2024-10-31,381.16,436.12,354.93,392.34,230434
PRC000066,CMP029,2023-10-18,246.17,255.69,232.04,250.69,1929793
PRC000067,CMP034,2021-05-23,402.08,426.95,380.78,405.51,2410959
PRC000068,CMP023,2022-09-02,55.57,61.19,48.73,49.68,2633955
PRC000069,CMP025,2022-10-18,183.23,207.81,175.83,206.12,1675924
PRC000070,CMP032,2024-09-08,125.08,129.62,120.1,122.28,2987574
PRC000071,CMP085,2022-10-05,86.44,87.82,74.51,83.51,56563
PRC000072,CMP080,2021-10-07,384.48,415.71,382.04,398.28,4131050
PRC000073,CMP024,2024-04-14,450.08,509.56,411.29,438.29,4288699
PRC000074,CMP055,2022-09-06,147.33,152.24,134.59,135.55,4537290
PRC000075,CMP059,2020-09-03,25.96,27.31,22.61,26.26,4348019
PRC000076,CMP075,2020-07-25,235.43,259.77,235.01,240.23,2730956
PRC000077,CMP035,2022-08-23,187.19,211.39,181.94,189.68,2879101
PRC000078,CMP048,2022-01-17,189.3,203.46,183.32,197.43,3361414
PRC000079,CMP030,2024-07-25,147.02,150.99,144.13,148.08,838768
PRC000080,CMP026,2020-10-25,363.2,407.01,332.95,396.37,1255500
PRC000081,CMP081,2022-11-24,241.76,242.11,226.47,228.57,4480370
PRC000082,CMP073,2020-04-07,363.07,405.84,346.73,379.96,3343037
PRC000083,CMP081,2020-07-16,58.5,59.93,56.61,57.45,3774655
PRC000084,CMP033,2021-12-05,374.85,389.46,354.59,374.03,167390
PRC000085,CMP074,2023-03-25,211.76,222.91,190.17,210.0,4517747
PRC000086,CMP063,2024-05-05,95.52,106.7,90.43,101.38,3750121
PRC000087,CMP019,2024-11-13,445.92,471.41,426.76,454.97,1406725
PRC000088,CMP052,2024-10-04,323.88,368.99,303.39,343.56,599477
PRC000089,CMP035,2023-05-24,48.76,51.27,46.47,49.6,3318319
PRC000090,CMP076,2022-12-02,142.91,152.45,124.41,134.59,3778295
